"sample","flow"
"1",30212.915513475
"1",29536.8017596216
"1",30727.7051402278
"2",30168.5292155784
"2",29740.5408253923
"2",29891.6007417553
"3",28875.7090435486
"3",30679.3018459064
"3",30885.3247368666
"4",30228.22484968
"4",28930.659195043
"4",29200.5981635668
"5",30122.1966387956
"5",29953.5086856001
"5",30447.000778705
"6",29158.382759112
"6",30487.4966372741
"6",30702.379762709
"7",29645.4697503462
"7",30090.8495758251
"7",29839.5642620636
"8",30275.9803991267
"8",30397.9544167638
"8",29880.2711424477
"9",29756.3785396549
"9",29650.6690494447
"9",29830.0498771314
"10",29663.9542935985
"10",30765.5271656043
"10",30113.051910034
"11",29773.2306368671
"11",29443.2549128771
"11",29411.1456832317
"12",31440.6858462531
"12",29912.1889969491
"12",30360.3811203245
"13",29514.8438013015
"13",29760.3329993706
"13",29700.0195801597
"14",30400.9439455063
"14",29973.0001053981
"14",30109.9813281076
"15",29996.7099237273
"15",29354.8934285339
"15",29204.01147451
"16",30541.138669399
"16",31166.0022737043
"16",30061.9799571708
"17",29136.3470159524
"17",30200.6149861507
"17",30612.5139086175
"18",30309.4594598126
"18",29507.0064423819
"18",29542.2208607372
"19",29345.7872075285
"19",29453.3162694433
"19",28826.3541085368
"20",30234.0226155544
"20",31394.6625298246
"20",30123.3376162007
"21",29427.4641681559
"21",30004.2752752344
"21",30189.8391298624
"22",30092.9308504007
"22",30301.1402229638
"22",29557.0799533502
"23",30497.0884786115
"23",30276.0257835994
"23",30506.2692135198
"24",29994.1590260008
"24",29628.1946939557
"24",30238.6114080535
"25",30232.8517627436
"25",30558.8021900296
"25",29170.8655527834
"26",30569.7120775286
"26",31356.77741072
"26",30085.1888339385
"27",30450.2458395812
"27",30574.7760700625
"27",29327.9578416568
"28",28415.127718933
"28",29848.0687797999
"28",29769.357644029
"29",30023.1416507927
"29",30624.606807736
"29",30048.1028816972
"30",29864.6359374893
"30",29539.1681624712
"30",30239.8861523129
"31",30130.5236374558
"31",29803.1142990259
"31",29236.2390099464
"32",30382.1577473859
"32",30176.7602190897
"32",29998.1064677777
"33",29397.7508657373
"33",30401.7916863468
"33",29415.1887071581
"34",30007.9963252234
"34",28859.0173051851
"34",29526.4505539932
"35",29926.0768764677
"35",30718.9605621559
"35",29190.5896191777
"36",28741.2551661815
"36",29765.9859901425
"36",28792.2997684424
"37",29745.0486529047
"37",30223.8837944496
"37",29787.7209783848
"38",29503.8882511887
"38",30402.2227896025
"38",29737.4016200789
"39",29950.7329568905
"39",29133.8494359525
"39",30653.8998296871
"40",29404.7304159408
"40",29533.2049291311
"40",30473.783237051
"41",29587.6646260337
"41",30245.1209783568
"41",29243.5616195674
"42",29872.2272970607
"42",29890.5997306159
"42",30072.7824427026
"43",30819.1526484658
"43",30394.936516013
"43",30105.9419041968
"44",29526.4960775982
"44",29361.003271491
"44",29736.8808433464
"45",30326.3853986451
"45",28816.8405626068
"45",29582.4334795953
"46",29722.5031589492
"46",30089.4289341804
"46",29790.7913767848
"47",29989.7783126924
"47",30558.9507323178
"47",29989.0628586924
"48",30151.3728511596
"48",30090.0679053557
"48",29833.9561751603
"49",30182.531616708
"49",30140.9644711648
"49",29279.74287467
"50",29171.2638730669
"50",29105.5238060336
"50",30618.9338320761
"51",27111.9035982158
"51",26334.4274761182
"51",26493.8172435822
"52",25563.3425564291
"52",26747.9457425386
"52",26054.7115194859
"53",26031.0490562338
"53",25491.6604514553
"53",26155.9571742975
"54",26046.0189843262
"54",25427.2788948956
"54",25669.9274616594
"55",25175.7899614547
"55",26062.1825773911
"55",26354.4788945579
"56",27115.405328517
"56",26784.2614771633
"56",25851.5027497444
"57",26468.722837331
"57",26435.4430653118
"57",26528.8011276685
"58",27853.8236432048
"58",27283.6739535795
"58",26119.6828805298
"59",26105.3481811953
"59",27079.0417944711
"59",27047.7765848705
"60",25775.1762102511
"60",26923.2676409826
"60",26260.7687092687
"61",26050.2998251639
"61",26099.8904725854
"61",26804.2000777335
"62",26251.5598666318
"62",26718.9103294014
"62",26749.985638245
"63",27221.5972095412
"63",26689.879240053
"63",26074.3957516716
"64",25367.8245142125
"64",25079.165380176
"64",25712.3601775351
"65",25642.8807597481
"65",27058.5342147028
