SampleID	GroupNumber	Treatment
P1101C01701R00	1	Yellow
P1101C01702R00	1	Yellow
P1101C01703R00	1	Yellow
P1101C08701R00	1	Yellow
P1101C08702R00	1	Yellow
P1101C08703R00	1	Yellow
P1101C15701R00	1	Yellow
P1101C15702R00	1	Yellow
P1101C15703R00	1	Yellow
P1101H01702R00	1	Yellow
P1101H01703R00	1	Yellow
P1101H01704R00	1	Yellow
P1101H01705R00	1	Yellow
P1101H01706R00	1	Yellow
P1101H01707R00	1	Yellow
P1101H02701R00	1	Yellow
P1101H02703R00	1	Yellow
P1101H02704R00	1	Yellow
P1101H02705R00	1	Yellow
P1101H02706R00	1	Yellow
P1101H02707R00	1	Yellow
P1101H03701R00	1	Yellow
P1101H03702R00	1	Yellow
P1101H03703R00	1	Yellow
P1101H03704R00	1	Yellow
P1101H03705R00	1	Yellow
P1101H03706R00	1	Yellow
P1101H03707R00	1	Yellow
P1101H04701R00	1	Yellow
P1101H04702R00	1	Yellow
P1101H04703R00	1	Yellow
P1101H04704R00	1	Yellow
P1101H04705R00	1	Yellow
P1101H04706R00	1	Yellow
P1101H04707R00	1	Yellow
P1101H05701R00	1	Yellow
P1101H05702R00	1	Yellow
P1101H05703R00	1	Yellow
P1101H05704R00	1	Yellow
P1101H05705R00	1	Yellow
P1101H05706R00	1	Yellow
P1101H05707R00	1	Yellow
P1101H06701R00	1	Yellow
P1101H06702R00	1	Yellow
P1101H06703R00	1	Yellow
P1101H06704R00	1	Yellow
P1101H06705R00	1	Yellow
P1101H06706R00	1	Yellow
P1101H06707R00	1	Yellow
P1101H07701R00	1	Yellow
P1101H07702R00	1	Yellow
P1101H07703R00	1	Yellow
P1101H07704R00	1	Yellow
P1101H07705R00	1	Yellow
P1101H07706R00	1	Yellow
P1101H07707R00	1	Yellow
P1101H08701R00	1	Yellow
P1101H08702R00	1	Yellow
P1101H08703R00	1	Yellow
P1101H08704R00	1	Yellow
P1101H08705R00	1	Yellow
P1101H08706R00	1	Yellow
P1101H08707R00	2	Yellow
P1101H09701R00	2	Yellow
P1101H09702R00	2	Yellow
P1101H09703R00	2	Yellow
P1101H09704R00	2	Yellow
P1101H09705R00	2	Yellow
P1101H09707R00	2	Yellow
P1101H10701R00	2	Yellow
P1101H10702R00	2	Yellow
P1101H10703R00	2	Yellow
P1101H10704R00	2	Yellow
P1101H10705R00	2	Yellow
P1101H10706R00	2	Yellow
P1101H10707R00	2	Yellow
P1101H11701R00	2	Yellow
P1101H11702R00	2	Yellow
P1101H11703R00	2	Yellow
P1101H11704R00	2	Yellow
P1101H11705R00	2	Yellow
P1101H11706R00	2	Yellow
P1101H11707R00	2	Yellow
P1101H12701R00	2	Yellow
P1101H12702R00	2	Yellow
P1101H12703R00	2	Yellow
P1101H12704R00	2	Yellow
P1101H12705R00	2	Yellow
P1101H12706R00	2	Yellow
P1101H12707R00	2	Yellow
P1101H13701R00	2	Yellow
P1101H13702R00	2	Yellow
P1101H13703R00	2	Yellow
P1101H13704R00	2	Yellow
P1101H13705R00	2	Yellow
P1101H13706R00	2	Yellow
P1101H13707R00	2	Yellow
P1101H14701R00	2	Yellow
P1101H14702R00	2	Yellow
P1101H14703R00	2	Yellow
P1101H14704R00	2	Yellow
P1101H14705R00	2	Yellow
P1101H14706R00	2	Yellow
P1101H14707R00	2	Yellow
P1101H15701R00	2	Yellow
P1101H15702R00	2	Yellow
P1101H15703R00	2	Yellow
P1101H16701R00	2	Yellow
P1101H16702R00	2	Yellow
P1101H16703R00	2	Yellow
P1101H17701R00	2	Yellow
P1101H17702R00	2	Yellow
P1101H17703R00	2	Yellow
P1101H17704R00	2	Yellow
P1101H17705R00	2	Yellow
P1101H17706R00	2	Yellow
P1101H17707R00	2	Yellow
P1101H18701R00	2	Yellow
P1101H18702R00	2	Yellow
P1101H18703R00	2	Yellow
P1101H18704R00	2	Yellow
P1101H18705R00	2	Yellow
P1101H18706R00	2	Yellow
P1101H18707R00	2	Yellow
P1101H19701R00	2	Yellow
P1101H19702R00	2	Yellow
P1101H19703R00	2	Yellow
P1101H19704R00	2	Yellow
P1101H19705R00	2	Yellow
P1101H19706R00	2	Yellow
P1101H19707R00	2	Yellow
P1101H20701R00	2	Yellow
P1101H20702R00	2	Yellow
P1101H20703R00	2	Yellow
P1101H20704R00	2	Yellow
P1101H20705R00	2	Yellow
P1101H20706R00	2	Yellow
P1101H20707R00	2	Yellow
P1101H21701R00	2	Yellow
P1101H21702R00	2	Yellow
P1101H21703R00	2	Yellow
P1101H21705R00	2	Yellow
P1101H21706R00	2	Yellow
P1101H21707R00	2	Yellow
P1101H22701R00	2	Yellow
P1101H22702R00	2	Yellow
P1101H22703R00	2	Yellow
P1101H22704R00	2	Yellow
P1101H22705R00	2	Yellow
P1101H22706R00	2	Yellow
P1101H22707R00	2	Yellow
P1101H23701R00	2	Yellow
P1101H23702R00	2	Yellow
P1101H23703R00	2	Yellow
P1101H23704R00	2	Yellow
P1101H23705R00	2	Yellow
P1101H23706R00	2	Yellow
P1101H23707R00	2	Yellow
P1101H24701R00	2	Yellow
P1101H24702R00	2	Yellow
P1101H24703R00	2	Yellow
P1101H24704R00	2	Yellow
P1101H24705R00	2	Yellow
P1101H24706R00	2	Yellow
P1101H24707R00	2	Yellow
P1101H25701R00	2	Yellow
P1101H25702R00	2	Yellow
P1101H25703R00	2	Yellow
P1101H26701R00	2	Yellow
P1101H26703R00	2	Blue
P1101H27701R00	2	Blue
P1101H27702R00	2	Blue
P1101H27703R00	2	Blue
P1101H28701R00	2	Blue
P1101H28702R00	2	Blue
P1101H28703R00	2	Blue
P1101H29701R00	2	Blue
P1101H29702R00	2	Blue
P1101H29703R00	2	Blue
P1101L11999R00	2	Blue
P1101L12999R00	2	Blue
P1101L13999R00	2	Blue
P1101L14999R00	2	Blue
P1101L15999R00	2	Blue
P1101L26999R00	2	Blue
P1101L27999R00	2	Blue
P1101L28999R00	2	Blue
P1101L29999R00	2	Blue
P1101L30999R00	2	Blue
P1102C01701R00	2	Blue
P1102C01702R00	2	Blue
P1102C01703R00	2	Blue
P1102C08701R00	2	Blue
P1102C08702R00	2	Blue
P1102C08703R00	2	Blue
P1102C15701R00	2	Blue
P1102C15702R00	2	Blue
P1102C15703R00	2	Blue
P1102H01702R00	2	Blue
P1102H01703R00	2	Blue
P1102H01704R00	2	Blue
P1102H01705R00	2	Blue
P1102H01706R00	2	Blue
P1102H01707R00	2	Blue
P1102H02701R00	2	Blue
P1102H02703R00	2	Blue
P1102H02704R00	2	Blue
P1102H02705R00	3	Blue
P1102H02706R00	3	Blue
P1102H02707R00	3	Blue
P1102H03701R00	3	Blue
P1102H03702R00	3	Blue
P1102H03703R00	3	Blue
P1102H03704R00	3	Blue
P1102H03705R00	3	Blue
P1102H03706R00	3	Blue
P1102H03707R00	3	Blue
P1102H04701R00	3	Blue
P1102H04702R00	3	Blue
P1102H04703R00	3	Blue
P1102H04704R00	3	Blue
P1102H04705R00	3	Blue
P1102H04706R00	3	Blue
P1102H04707R00	3	Blue
P1102H05701R00	3	Blue
P1102H05702R00	3	Blue
P1102H05703R00	3	Blue
P1102H05704R00	3	Blue
P1102H05705R00	3	Blue
P1102H05706R00	3	Blue
P1102H05707R00	3	Blue
P1102H06701R00	3	Blue
P1102H06702R00	3	Blue
