Species	18393_Gobero_DC2_QG	18393p_Gobero_DC2_PB	18393PB_SSL	18393QG_SSL	18398_Gobero_DC3_QG	18398p_Gobero_DC3_PB	18398PB_SSL	18398QG_SSL	18400_Gobero_DC1_QG	18400p_Gobero_DC1_PB	18400PB_SSL	18400QG_SSL	18416_Hungary4	18416p_Hungary4_PB	18416PB_SSL	18416QG_SSL	18421_Hungary11	18421p_Hungary11_PB	18421PB_SSL	18421QG_SSL	18427_Hungary7	18427p_Hungary7_PB	18427PB_SSL	18427QG_SSL	18447PB_SSL	18447QG_SSL	18448PB_SSL	18448QG_SSL	18698QG_SSL	18699QG_SSL	19105PB_SSL	19106PB_SSL	A15856PB_SSL	A15858PB_SSL
Edaphobacter_aggregans	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides_graminisolvens	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phocaeicola_abscessus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Petrimonas_mucosa	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Proteiniphilum_saccharofermentans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gabonibacter_massiliensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Porphyromonas_catoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas_gingivalis	0	0	5	0	0	0	0	0	0	0	0	0	0	540	6748	0	0	322	0	0	1530	710	0	0	1	0	4609	0	0	0	0	0	0	0
Prevotella_loescheii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_saccharolytica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
