	ONU	LTR	T
A:E:G:E	103.4	99.4	650
A:D:G:E	0.4	0.1	1500
A:E:G:D	36.2	94.5	750
A:D:G:D	86.0	86.5	1050
G:E:A:E	96.3	99.5	700
G:D:A:E	67.7	102.0	1050
G:E:A:D	3.8	80.0	775
G:D:A:D	90.3	11.8	1450
A:E:A:E	0.4	0.2	1300
A:D:A:E	0.4	0.5	1500
A:E:A:D	0.2	0.8	1150
A:D:A:D	0.0	0.1	1250
G:E:G:E	102.5	102.2	725
G:D:G:E	4.1	0.0	1350
G:E:G:D	89.7	83.9	775
G:D:G:D	49.6	0.6	1500
S:E:G:E	0.1	0.1	1400
S:D:G:E	2.4	0.3	1325
S:E:G:D	99.1	92.0	850
S:D:G:D	0.0	0.0	1500
G:E:S:E	0.0	0.5	1500
G:D:S:E	3.8	0.5	1400
G:E:S:D	1.0	3.0	1500
G:D:S:D	0.0	0.3	1500
A:E:S:E	0.2	0.2	1500
S:E:A:E	0.1	0.1	1500
S:E:S:E	0.1	0.2	1450
